flow_id,src_ip,dst_ip,flow_duration,packet_rate,byte_rate,pkt_iat_mean,pkt_iat_std,packet_len_mean,packet_in_count,tcp_flags_syn_count,flow_active_ratio,rsu_channel_occupancy,label
26,10.0.4.157,192.168.1.118,16.3033,57.62,54736.27,2.58,9.55,1060.93,3,28,0.77,0.438,2
27,10.0.2.110,192.168.1.6,6.4555,28.76,44742.45,16.2,5.3,1051.26,3,4,0.805,0.433,0
28,10.0.3.134,192.168.1.103,11.9174,68.76,52954.78,14.51,5.68,987.04,4,0,0.916,0.403,0
29,10.0.2.119,192.168.1.4,17.9693,59.24,1595869.15,13.25,3.73,1444.42,1,2,0.767,0.206,3
30,10.0.2.80,192.168.1.92,25.7133,70.61,67553.41,18.76,6.94,1096.81,2,0,0.788,0.347,0
31,10.0.2.206,192.168.1.127,22.0655,63.69,29707.69,29.81,4.47,1080.22,3,2,0.711,0.355,0
32,10.0.4.91,192.168.1.47,7.9642,760.92,411051.68,0.58,2.88,990.6,101,0,0.71,0.533,1
33,10.0.1.100,192.168.1.181,15.5991,59.55,48980.5,20.21,6.03,1180.7,0,2,0.769,0.402,0
34,10.0.1.29,192.168.1.203,11.7437,73.74,46892.76,16.87,0.62,1127.71,3,1,0.761,0.267,0
35,10.0.4.114,192.168.1.237,25.3806,40.12,50752.66,15.62,3.59,821.01,2,1,0.884,0.339,0
36,10.0.3.191,192.168.1.63,9.2295,63.96,36903.51,10.43,6.88,1004.15,1,0,0.761,0.24,0
37,10.0.1.141,192.168.1.48,2.614,51.27,57974.84,3.03,8.59,988.82,4,39,0.942,0.378,2
38,10.0.2.96,192.168.1.50,23.2656,589.04,564121.7,0.47,5.95,740.56,140,1,0.735,0.441,1
39,10.0.4.90,192.168.1.238,22.6333,62.42,56839.62,3.09,6.34,971.62,1,37,0.747,0.259,2
40,10.0.2.135,192.168.1.68,20.8065,67.72,46016.27,21.25,6.61,651.05,2,1,0.757,0.336,0
41,10.0.2.98,192.168.1.119,10.7123,683.83,792162.2,0.54,6.27,1340.6,111,0,0.762,0.849,1
42,10.0.3.48,192.168.1.91,4.2083,62.87,45553.62,1.91,3.89,1144.58,3,57,0.745,0.427,2
43,10.0.2.102,192.168.1.150,5.4472,59.74,1987208.91,33.22,4.59,1458.2,6,1,0.806,0.384,3
44,10.0.2.131,192.168.1.136,6.4033,57.81,45265.74,24.76,2.89,890.58,3,2,0.804,0.416,0
45,10.0.4.106,192.168.1.178,22.3875,34.97,47392.65,14.37,4.7,999.0,3,1,0.866,0.245,0
46,10.0.3.19,192.168.1.2,25.9583,36.81,36603.72,20.74,2.88,832.31,3,1,0.794,0.409,0
47,10.0.3.188,192.168.1.73,14.1454,487.18,968981.31,0.33,0.85,948.6,349,1,0.706,0.526,1
48,10.0.4.211,192.168.1.8,24.1976,46.29,55004.78,14.73,4.3,965.62,3,1,0.751,0.273,0
49,10.0.2.121,192.168.1.60,22.3412,1221.5,624224.27,0.2,5.52,775.2,381,1,0.893,0.64,1
50,10.0.2.101,192.168.1.42,24.1958,61.39,46363.88,3.12,5.62,743.47,2,40,0.768,0.205,2
51,10.0.3.194,192.168.1.52,17.0712,60.29,54725.97,21.28,6.97,1249.82,2,1,0.712,0.242,0
52,10.0.4.236,192.168.1.82,23.3586,60.14,58244.15,19.38,6.5,1225.15,3,1,0.835,0.241,0
53,10.0.4.188,192.168.1.50,18.3084,61.49,42968.24,19.83,8.54,905.95,3,0,0.848,0.29,0
54,10.0.3.33,192.168.1.11,28.5569,68.12,36806.52,18.87,7.13,1017.94,5,1,0.947,0.436,0
55,10.0.3.147,192.168.1.188,29.9813,37.49,76059.77,16.34,4.28,877.11,0,1,0.886,0.214,0
56,10.0.1.17,192.168.1.238,2.0732,56.16,35948.4,3.95,2.92,1191.69,1,44,0.835,0.398,2
57,10.0.1.182,192.168.1.239,7.7558,817.51,583218.04,0.14,3.63,923.52,397,1,0.728,0.635,1
58,10.0.2.75,192.168.1.108,4.1746,25.15,40465.41,18.62,6.13,770.12,6,1,0.758,0.408,0
59,10.0.1.69,192.168.1.143,7.3941,55.55,43771.3,17.52,4.66,943.99,2,1,0.756,0.334,0
60,10.0.3.39,192.168.1.73,14.2655,38.26,35061.7,2.63,3.79,995.36,1,53,0.933,0.384,2
61,10.0.3.156,192.168.1.167,2.4147,833.22,547437.79,0.71,7.06,1022.71,284,1,0.739,0.528,1
62,10.0.3.114,192.168.1.234,26.5675,58.63,49583.79,22.78,3.92,1095.83,1,2,0.748,0.221,0
63,10.0.4.211,192.168.1.51,8.5343,621.58,1073488.61,0.15,5.44,1037.41,296,2,0.775,0.829,1
64,10.0.4.210,192.168.1.100,20.6055,65.77,1054867.14,16.3,1.59,1457.74,0,1,0.905,0.263,3
65,10.0.1.198,192.168.1.132,5.7451,37.75,56486.36,24.94,7.24,1196.58,2,2,0.86,0.299,0
66,10.0.3.175,192.168.1.51,10.3015,59.42,58600.96,21.77,4.42,1075.36,2,0,0.723,0.238,0
67,10.0.1.131,192.168.1.89,19.1604,874.24,722271.47,0.62,4.82,1216.02,313,0,0.871,0.677,1
68,10.0.2.87,192.168.1.93,29.5462,48.81,38221.03,15.31,8.24,1182.27,4,0,0.843,0.205,0
69,10.0.2.74,192.168.1.104,17.2298,1263.76,428937.21,0.13,4.46,987.08,222,1,0.842,0.819,1
70,10.0.2.148,192.168.1.56,9.6662,1184.07,878575.01,0.88,9.83,1097.71,127,0,0.81,0.839,1
71,10.0.3.77,192.168.1.50,22.5841,69.77,48139.43,25.21,6.01,700.39,1,1,0.805,0.251,0
72,10.0.2.41,192.168.1.22,22.0879,45.17,65739.87,2.54,2.07,1033.67,3,33,0.848,0.428,2
73,10.0.1.124,192.168.1.90,4.8155,1071.68,676359.09,0.19,3.9,899.26,232,0,0.918,0.685,1
74,10.0.1.134,192.168.1.21,8.4859,37.05,2200775.73,17.66,5.69,1469.54,1,0,0.83,0.284,3
75,10.0.1.21,192.168.1.27,28.5089,42.58,36953.45,27.02,1.79,1075.57,4,1,0.947,0.231,0
76,10.0.3.127,192.168.1.227,4.5412,28.46,57326.4,19.6,5.16,700.27,0,0,0.947,0.441,0
77,10.0.4.243,192.168.1.86,29.2198,34.56,55034.29,9.39,5.59,840.17,0,0,0.935,0.383,0
78,10.0.1.2,192.168.1.148,20.5055,50.92,60730.87,19.18,6.09,862.43,6,0,0.933,0.372,0
79,10.0.4.103,192.168.1.20,24.9783,58.39,2326071.13,15.05,4.12,1478.62,3,0,0.727,0.363,3
80,10.0.3.173,192.168.1.103,23.1063,47.02,63757.07,3.18,5.25,974.04,1,69,0.797,0.312,2
81,10.0.1.208,192.168.1.45,18.5,50.16,60896.65,27.67,0.5,897.55,3,0,0.795,0.3,0
82,10.0.3.35,192.168.1.79,12.4366,66.24,53251.34,20.9,8.64,959.41,1,2,0.749,0.32,0
83,10.0.2.40,192.168.1.142,8.4465,62.62,40114.09,14.48,5.36,1208.8,3,1,0.745,0.37,0
84,10.0.4.138,192.168.1.27,9.5631,44.33,55283.25,19.28,6.59,1071.55,0,0,0.859,0.329,0
85,10.0.4.203,192.168.1.226,18.7184,27.23,61494.2,18.5,4.45,1112.71,2,1,0.867,0.224,0
86,10.0.1.3,192.168.1.65,5.4365,55.03,46394.86,32.34,1.22,917.88,1,1,0.858,0.215,0
87,10.0.3.110,192.168.1.239,21.1592,40.62,35643.81,10.43,6.95,1165.61,1,0,0.881,0.345,0
88,10.0.4.126,192.168.1.59,19.7134,33.68,65809.54,12.81,2.56,846.63,2,1,0.848,0.37,0
89,10.0.1.56,192.168.1.145,20.4151,70.8,66725.72,22.1,3.59,991.63,2,1,0.834,0.224,0
90,10.0.1.17,192.168.1.205,9.7247,49.8,53836.12,15.43,4.44,1129.8,2,0,0.897,0.416,0
91,10.0.1.36,192.168.1.159,21.5536,756.69,807705.41,0.59,1.33,1076.2,143,2,0.948,0.908,1
92,10.0.4.55,192.168.1.239,26.1736,55.68,55995.94,1.56,4.53,821.81,4,33,0.916,0.431,2
93,10.0.4.129,192.168.1.97,15.5744,46.47,39348.86,18.47,3.78,971.95,0,0,0.941,0.337,0
94,10.0.3.57,192.168.1.208,28.157,46.26,56326.21,20.25,4.54,803.16,1,0,0.821,0.389,0
95,10.0.3.156,192.168.1.93,7.9362,34.37,1630283.52,18.49,4.22,1432.66,4,1,0.807,0.233,3
96,10.0.2.243,192.168.1.238,6.1297,47.75,54182.07,19.49,3.87,941.59,3,0,0.855,0.281,0
97,10.0.1.222,192.168.1.181,24.2446,49.85,1500854.7,20.6,3.05,1456.83,0,1,0.781,0.384,3
98,10.0.4.173,192.168.1.194,12.3794,52.91,42693.18,1.6,4.24,986.85,3,65,0.922,0.313,2
99,10.0.2.39,192.168.1.112,2.3871,51.53,60930.69,22.88,0.13,1027.87,5,1,0.908,0.217,0
100,10.0.1.161,192.168.1.96,29.0679,59.96,42432.05,12.89,8.0,951.6,4,2,0.945,0.35,0
101,10.0.3.175,192.168.1.114,18.8785,47.49,52299.54,15.46,4.52,883.15,2,0,0.932,0.369,0
102,10.0.3.89,192.168.1.45,9.2913,1108.02,938036.82,0.54,3.37,1182.06,197,3,0.741,0.512,1
103,10.0.2.236,192.168.1.218,16.7249,1209.02,481632.41,0.89,6.13,735.89,327,1,0.762,0.84,1
104,10.0.3.145,192.168.1.244,22.2591,38.04,54446.03,25.98,3.78,979.9,1,1,0.94,0.292,0
105,10.0.1.174,192.168.1.21,14.6393,50.15,39287.46,2.42,8.13,812.46,2,66,0.745,0.207,2
106,10.0.4.110,192.168.1.77,26.3536,67.92,50811.0,18.9,4.37,963.37,3,0,0.859,0.237,0
107,10.0.4.149,192.168.1.241,21.5227,1276.44,976839.79,0.48,2.72,970.95,262,0,0.85,0.845,1
108,10.0.4.50,192.168.1.150,20.8914,53.04,36233.08,23.59,8.35,1251.97,2,1,0.794,0.315,0
109,10.0.4.214,192.168.1.159,15.0061,57.35,49724.85,28.86,8.32,931.44,1,1,0.888,0.364,0
110,10.0.1.197,192.168.1.179,2.2933,58.86,43073.38,19.67,5.49,1174.03,1,1,0.855,0.34,0
111,10.0.2.70,192.168.1.132,11.073,47.61,52470.77,20.44,6.4,1014.51,0,1,0.883,0.445,0
112,10.0.1.6,192.168.1.3,6.5445,715.98,420679.43,0.54,8.26,1039.58,199,1,0.898,0.742,1
113,10.0.3.69,192.168.1.111,7.2666,769.85,801047.31,0.25,6.89,896.62,376,0,0.945,0.877,1
114,10.0.2.172,192.168.1.148,1.5204,1177.35,518802.92,0.84,3.62,1012.91,381,0,0.771,0.655,1
115,10.0.4.132,192.168.1.110,6.6727,56.39,62706.31,16.46,3.11,831.41,1,2,0.839,0.242,0
116,10.0.1.159,192.168.1.14,9.0302,44.53,1775899.72,21.49,6.52,1436.74,1,2,0.942,0.304,3
117,10.0.2.176,192.168.1.109,29.9153,53.9,42276.3,17.49,6.12,1044.01,1,1,0.89,0.447,0
118,10.0.3.83,192.168.1.59,11.3761,49.25,62969.95,19.89,3.0,924.28,2,0,0.735,0.287,0
119,10.0.1.48,192.168.1.39,13.6297,730.0,492075.95,0.72,5.76,926.64,167,1,0.864,0.985,1
120,10.0.2.39,192.168.1.143,2.9867,52.97,44968.55,27.22,5.69,1033.01,2,3,0.742,0.297,0
121,10.0.4.167,192.168.1.182,16.8528,52.53,49365.54,2.8,3.11,966.72,5,68,0.907,0.27,2
122,10.0.3.17,192.168.1.222,3.7995,54.22,31148.0,18.52,1.79,1116.89,2,3,0.923,0.246,0
123,10.0.1.88,192.168.1.176,9.2734,33.74,45041.42,3.29,7.79,816.11,1,53,0.917,0.216,2
124,10.0.4.174,192.168.1.68,27.4096,57.86,38795.77,19.45,3.03,929.71,2,2,0.733,0.259,0
125,10.0.1.85,192.168.1.57,28.5654,969.93,773467.69,0.65,5.21,984.17,243,0,0.769,0.974,1
126,10.0.1.42,192.168.1.18,16.5732,48.16,52979.21,21.44,4.38,730.86,1,1,0.769,0.404,0
127,10.0.2.198,192.168.1.9,11.0115,60.76,50213.12,29.51,4.88,893.74,3,1,0.906,0.439,0
128,10.0.3.3,192.168.1.192,1.061,34.86,58107.04,2.42,6.64,819.25,2,71,0.925,0.301,2
129,10.0.2.29,192.168.1.22,19.7471,1157.42,626404.41,0.84,5.01,1067.74,384,1,0.8,0.941,1
130,10.0.4.166,192.168.1.8,13.468,746.4,626794.98,0.56,7.0,899.41,271,0,0.846,0.644,1
131,10.0.2.177,192.168.1.117,26.8128,40.36,45698.43,20.25,4.68,788.1,0,1,0.869,0.351,0
132,10.0.4.102,192.168.1.36,17.231,62.13,50279.51,22.09,1.47,782.35,1,1,0.909,0.293,0
133,10.0.1.45,192.168.1.140,18.4853,34.6,35137.23,3.71,0.92,1027.5,4,65,0.749,0.214,2
134,10.0.4.6,192.168.1.146,11.071,38.2,39272.57,21.2,9.15,862.09,4,1,0.75,0.299,0
135,10.0.4.71,192.168.1.184,27.3013,1274.36,563424.24,0.54,7.28,918.18,209,1,0.709,0.973,1
136,10.0.1.73,192.168.1.117,9.2877,49.51,56397.87,16.37,5.48,637.04,4,2,0.939,0.25,0
137,10.0.1.153,192.168.1.36,19.5658,39.77,42055.74,14.49,3.3,1108.4,2,2,0.861,0.405,0
138,10.0.4.24,192.168.1.10,28.766,41.38,59531.25,22.57,6.45,1077.43,1,3,0.911,0.353,0
139,10.0.2.56,192.168.1.28,9.1297,720.26,577293.63,0.94,8.76,892.61,316,0,0.878,0.807,1
140,10.0.2.15,192.168.1.179,17.9145,53.36,51721.21,26.01,4.19,792.57,2,2,0.839,0.359,0
141,10.0.2.39,192.168.1.210,24.8535,523.76,900265.95,0.74,5.13,889.18,255,1,0.887,0.615,1
142,10.0.4.180,192.168.1.166,25.3408,58.9,41415.5,25.63,4.45,883.37,2,2,0.927,0.294,0
143,10.0.1.22,192.168.1.85,2.2265,57.38,51108.89,22.31,6.81,937.83,2,0,0.869,0.436,0
144,10.0.1.74,192.168.1.167,19.6803,713.5,868394.24,0.75,5.0,1090.18,132,1,0.713,0.862,1
145,10.0.3.14,192.168.1.58,26.5245,56.7,39281.43,12.23,6.64,1056.46,3,1,0.923,0.272,0
146,10.0.4.123,192.168.1.189,23.6784,40.98,40741.81,2.86,2.84,1118.28,4,49,0.927,0.267,2
147,10.0.4.246,192.168.1.154,23.107,33.04,46714.65,17.79,4.33,1034.75,0,1,0.745,0.309,0
148,10.0.1.80,192.168.1.125,16.0209,669.87,403875.69,0.64,5.33,1007.63,198,3,0.8,0.607,1
149,10.0.3.96,192.168.1.157,2.6775,55.37,50516.26,18.97,3.7,900.68,1,2,0.903,0.359,0
150,10.0.1.123,192.168.1.22,24.4859,714.68,563551.26,0.32,5.6,1261.75,325,3,0.758,0.465,1
151,10.0.4.49,192.168.1.185,19.0063,36.92,1604922.33,31.44,1.89,1482.46,2,2,0.865,0.227,3
152,10.0.4.89,192.168.1.243,29.4532,706.74,599095.67,0.8,2.27,1028.46,141,4,0.74,0.702,1
153,10.0.2.249,192.168.1.248,15.468,746.72,896104.41,0.91,6.26,809.59,110,2,0.807,0.456,1
154,10.0.1.149,192.168.1.117,29.8044,36.56,672208.76,21.24,5.3,1471.75,2,1,0.864,0.26,3
155,10.0.2.41,192.168.1.134,25.3547,41.96,57460.88,14.57,6.42,1252.53,2,1,0.808,0.426,0
156,10.0.3.228,192.168.1.166,23.6306,44.73,46391.09,2.64,5.82,801.17,1,1,0.718,0.217,0
157,10.0.1.63,192.168.1.170,3.7565,58.99,57445.84,25.29,4.04,561.26,0,0,0.933,0.298,0
158,10.0.1.142,192.168.1.88,13.0804,62.48,43242.92,20.17,2.83,837.13,1,2,0.866,0.385,0
159,10.0.2.18,192.168.1.69,26.9852,621.67,814898.67,0.67,4.25,793.49,240,1,0.888,0.451,1
160,10.0.2.170,192.168.1.222,19.3326,45.36,1814754.42,14.7,6.43,1451.64,2,0,0.745,0.225,3
161,10.0.1.84,192.168.1.44,7.1884,59.42,40579.34,22.27,5.62,932.68,3,1,0.797,0.427,0
162,10.0.4.124,192.168.1.44,1.3311,34.82,46429.71,4.81,6.15,1075.1,0,55,0.916,0.245,2
163,10.0.1.76,192.168.1.134,5.5609,50.5,38828.59,1.08,5.75,1121.48,2,71,0.869,0.213,2
164,10.0.1.85,192.168.1.183,19.0175,62.18,41315.59,16.57,4.7,894.45,2,0,0.793,0.436,0
165,10.0.3.132,192.168.1.11,4.3695,1087.48,582902.51,0.57,5.85,974.79,319,2,0.837,0.978,1
166,10.0.2.159,192.168.1.54,22.4647,58.01,71108.73,15.91,5.87,822.11,1,1,0.815,0.223,0
167,10.0.2.180,192.168.1.49,28.9854,53.45,58113.97,14.26,6.64,1230.69,1,3,0.739,0.436,0
168,10.0.2.115,192.168.1.28,23.3967,35.55,64303.47,20.71,4.0,1093.18,2,2,0.754,0.366,0
169,10.0.4.238,192.168.1.169,3.6861,48.37,53165.4,20.95,1.79,934.15,2,1,0.859,0.261,0
170,10.0.2.66,192.168.1.248,24.7327,857.23,542378.68,0.46,6.4,788.93,275,0,0.921,0.651,1
171,10.0.1.80,192.168.1.93,16.122,952.56,632262.7,0.68,5.31,1114.97,215,3,0.858,0.577,1
172,10.0.2.243,192.168.1.122,15.5023,54.66,63428.74,21.98,2.37,879.73,0,0,0.77,0.378,0
173,10.0.4.235,192.168.1.24,5.6253,25.7,55427.04,14.81,5.27,1024.74,1,0,0.777,0.262,0
174,10.0.1.36,192.168.1.40,22.5334,45.07,55694.14,22.81,6.21,792.08,1,0,0.926,0.219,0
175,10.0.3.46,192.168.1.146,25.9057,64.49,59218.02,22.41,5.84,1091.03,2,1,0.873,0.257,0
176,10.0.3.127,192.168.1.157,26.0262,807.97,563832.17,0.31,1.32,851.76,228,2,0.753,0.611,1
177,10.0.1.177,192.168.1.240,29.6012,32.17,64980.95,17.48,5.76,1118.66,2,0,0.837,0.344,0
178,10.0.1.132,192.168.1.208,18.5635,46.64,42105.55,22.17,3.39,929.07,2,1,0.898,0.217,0
179,10.0.2.170,192.168.1.174,7.4351,37.16,56353.81,1.73,6.83,1161.01,3,48,0.771,0.333,2
180,10.0.3.84,192.168.1.4,1.3877,67.58,39264.65,13.31,4.83,1099.55,3,1,0.936,0.211,0
181,10.0.4.160,192.168.1.125,11.8035,54.64,48132.28,16.91,8.52,957.57,2,0,0.865,0.321,0
182,10.0.4.10,192.168.1.128,4.0067,51.04,44209.47,27.18,0.58,675.18,2,0,0.878,0.297,0
183,10.0.1.188,192.168.1.131,22.7494,53.05,51972.92,1.74,8.4,1160.73,3,79,0.768,0.251,2
184,10.0.1.223,192.168.1.174,27.3273,36.28,50310.45,21.11,4.04,1173.38,3,0,0.935,0.359,0
185,10.0.3.6,192.168.1.61,14.4303,45.79,58982.82,4.55,6.23,1079.26,5,40,0.816,0.266,2
186,10.0.3.92,192.168.1.225,20.3386,56.79,46979.55,18.35,6.46,1050.26,2,0,0.95,0.282,0
187,10.0.3.187,192.168.1.100,1.1658,545.29,1415340.72,0.85,2.85,826.04,286,0,0.778,0.449,1
188,10.0.1.52,192.168.1.150,13.0296,33.48,1086633.81,20.97,3.79,1483.4,1,2,0.793,0.355,3
189,10.0.3.66,192.168.1.65,19.8358,56.26,1287818.44,17.04,5.25,1449.89,3,1,0.874,0.362,3
190,10.0.2.210,192.168.1.129,13.001,36.79,72362.84,2.69,2.46,1285.89,7,49,0.849,0.376,2
191,10.0.2.111,192.168.1.21,8.1423,864.07,900098.85,0.86,5.88,1000.22,310,0,0.754,0.82,1
192,10.0.3.230,192.168.1.85,13.6264,66.37,39941.87,18.38,6.31,1215.17,1,1,0.936,0.219,0
193,10.0.1.27,192.168.1.87,23.0195,52.57,1179398.55,22.4,6.75,1450.88,1,0,0.732,0.264,3
194,10.0.1.66,192.168.1.248,23.5273,51.81,45111.5,2.95,6.07,1127.45,1,81,0.778,0.201,2
195,10.0.4.149,192.168.1.219,12.4755,40.04,2041978.71,14.27,3.99,1419.21,2,0,0.732,0.341,3
196,10.0.1.242,192.168.1.230,15.1924,49.48,67041.06,26.23,4.88,1142.72,1,1,0.732,0.249,0
197,10.0.2.227,192.168.1.209,22.351,46.33,60976.25,20.19,5.79,987.78,3,1,0.914,0.323,0
198,10.0.2.214,192.168.1.85,27.8866,50.67,54450.86,18.25,3.01,920.15,0,3,0.868,0.255,0
199,10.0.2.112,192.168.1.188,8.6342,61.95,55348.17,26.14,3.73,1068.76,2,2,0.773,0.252,0
200,10.0.3.202,192.168.1.181,1.1866,57.42,59988.17,26.86,6.21,1283.1,3,2,0.862,0.257,0
201,10.0.2.186,192.168.1.137,15.537,51.2,29158.87,28.62,4.43,1043.1,0,1,0.712,0.381,0
202,10.0.4.244,192.168.1.55,6.0314,62.21,45128.42,27.15,3.77,1048.75,2,1,0.717,0.205,0
203,10.0.2.120,192.168.1.38,9.2012,45.54,33265.15,16.72,2.53,849.52,0,2,0.748,0.274,0
204,10.0.4.115,192.168.1.133,22.4329,40.37,40190.13,1.74,7.08,836.75,0,32,0.786,0.409,2
205,10.0.4.193,192.168.1.105,5.7817,37.21,57976.03,15.07,3.24,810.95,2,0,0.715,0.426,0
206,10.0.1.85,192.168.1.178,27.2264,55.66,56990.14,23.18,2.77,743.89,5,0,0.746,0.286,0
207,10.0.4.92,192.168.1.19,6.0269,34.46,39698.06,3.93,5.64,1019.4,1,65,0.789,0.211,2
208,10.0.2.94,192.168.1.198,26.3176,68.96,52197.84,26.96,0.9,1122.13,0,0,0.79,0.223,0
209,10.0.4.130,192.168.1.184,18.2506,42.84,54233.42,30.4,1.51,1087.34,5,0,0.713,0.213,0
210,10.0.2.82,192.168.1.241,29.6935,39.24,52212.86,23.22,5.61,962.0,2,0,0.839,0.239,0
211,10.0.1.163,192.168.1.27,25.3864,51.47,44444.31,13.49,5.97,1069.25,2,1,0.933,0.371,0
212,10.0.4.62,192.168.1.126,10.0423,57.65,607779.18,12.32,7.18,1444.75,2,2,0.87,0.435,3
213,10.0.1.91,192.168.1.29,8.4048,47.11,42162.46,28.67,3.29,916.67,1,0,0.907,0.21,0
214,10.0.2.203,192.168.1.231,21.5933,52.04,47152.33,16.84,6.79,925.49,0,1,0.779,0.271,0
215,10.0.4.202,192.168.1.230,20.6457,66.26,44973.8,18.51,5.55,1022.78,3,0,0.911,0.321,0
216,10.0.3.12,192.168.1.206,7.2409,62.55,1340550.73,24.95,6.08,1453.79,2,0,0.914,0.405,3
217,10.0.4.240,192.168.1.26,1.7473,40.31,1690952.05,25.35,3.54,1453.44,2,0,0.777,0.337,3
218,10.0.1.43,192.168.1.211,22.0027,679.14,438681.55,0.35,4.08,857.12,163,0,0.908,0.962,1
219,10.0.3.192,192.168.1.112,2.1424,30.91,63183.02,20.36,4.18,986.61,3,0,0.877,0.268,0
220,10.0.2.94,192.168.1.176,6.639,49.62,48163.37,15.83,4.06,914.95,1,0,0.722,0.248,0
221,10.0.2.151,192.168.1.225,3.4222,56.77,42249.66,2.39,3.69,710.17,2,27,0.738,0.237,2
222,10.0.4.51,192.168.1.83,2.6437,588.48,787904.23,0.71,3.11,1091.24,250,0,0.757,0.666,1
223,10.0.3.117,192.168.1.139,20.0352,41.65,50702.49,19.73,4.07,844.93,1,2,0.946,0.392,0
224,10.0.1.48,192.168.1.221,10.5783,50.12,61446.06,21.05,6.86,1081.42,2,1,0.922,0.448,0
225,10.0.2.13,192.168.1.169,23.9524,618.27,1496583.05,0.53,4.43,1102.55,262,1,0.731,0.826,1
226,10.0.4.126,192.168.1.104,1.8075,49.45,61952.21,22.39,4.88,1184.33,4,1,0.901,0.348,0
227,10.0.3.152,192.168.1.225,3.0124,51.96,42021.86,23.14,4.52,839.85,2,3,0.87,0.436,0
228,10.0.1.28,192.168.1.117,3.3684,1126.48,646212.78,0.68,4.67,842.21,143,3,0.732,0.887,1
229,10.0.3.21,192.168.1.47,9.3593,1265.13,921524.06,0.89,5.36,1018.47,157,1,0.735,0.485,1
230,10.0.3.5,192.168.1.244,10.2808,59.24,30126.6,18.71,7.29,994.75,3,1,0.843,0.264,0
231,10.0.4.138,192.168.1.21,22.1772,38.18,54494.74,30.43,2.97,945.78,0,1,0.82,0.346,0
232,10.0.1.69,192.168.1.154,25.1401,651.89,931691.73,0.68,5.76,973.06,364,2,0.944,0.74,1
233,10.0.1.165,192.168.1.15,23.343,1021.18,586696.68,0.52,5.44,922.76,157,1,0.898,0.615,1
234,10.0.1.51,192.168.1.231,20.085,58.71,38466.68,11.56,1.41,796.68,3,4,0.819,0.35,0
